Member_number,Date,itemDescription,Cost,Date_Numeric_value
3221,13-Jan-15,curd,3,42017
1279,06-Sep-15,tropical fruit,4,42253
2581,22-Aug-15,soda,6,42238
2295,25-Feb-15,rolls/buns,1,42060
4760,22-Feb-15,canned beer,3.5,42057
3649,16-Jan-15,canned beer,3.5,42020
1075,19-Nov-15,frankfurter,2,42327
3987,19-Aug-15,other vegetables,5,42235
4106,25-Aug-15,whole milk,2,42241
4338,24-Jun-15,whole milk,2,42179
4166,06-Nov-15,citrus fruit,3,42314
1211,10-Mar-15,frankfurter,2,42073
3954,21-Jan-15,frankfurter,2,42025
3928,18-Jul-15,butter milk,1.65,42203
3827,30-Sep-15,hamburger meat,5,42277
4699,08-Feb-15,pasta,10,42043
4747,08-Jun-15,other vegetables,5,42163
3028,09-Jun-15,sausage,1.49,42164
2851,16-Mar-15,rolls/buns,1,42079
4417,25-Feb-15,grapes,7,42060
3822,07-Mar-15,root vegetables,7,42070
2288,31-May-15,coffee,15,42155
2184,30-Jun-15,popcorn,5,42185
4554,27-Aug-15,whole milk,2,42243
3361,05-Mar-15,tropical fruit,4,42068
2999,17-Apr-15,beef,7,42111
2614,25-Jun-15,whole milk,2,42180
4064,05-Jun-15,frankfurter,2,42160
3567,04-Oct-15,tropical fruit,4,42281
2587,07-May-15,canned beer,3.5,42131
3783,17-Jun-15,finished products,30,42172
1923,14-Feb-15,beverages,35,42049
4835,19-Feb-15,hamburger meat,5,42054
1514,24-Aug-15,whole milk,2,42240
3154,22-Jun-15,finished products,30,42177
1313,25-Dec-15,other vegetables,5,42363
2794,18-Jul-15,ham,10,42203
2359,09-Apr-15,other vegetables,5,42103
2238,09-Mar-15,curd,3,42072
3795,17-Jan-15,bottled beer,30,42021
3724,26-Nov-15,curd,3,42334
1152,05-Mar-15,whole milk,2,42068
4559,16-Mar-15,whole milk,2,42079
3922,27-Feb-15,dessert,10,42062
1709,22-Apr-15,sausage,1.49,42116
2219,17-Apr-15,other vegetables,5,42111
2206,17-Oct-15,ham,10,42294
1752,06-Apr-15,other vegetables,5,42100
3942,10-Nov-15,other vegetables,5,42318
3296,17-Aug-15,soda,6,42233
2257,05-Feb-15,herbs,7,42040
4313,28-Jul-15,frankfurter,2,42213
2001,21-Aug-15,rolls/buns,1,42237
2449,08-Jul-15,curd,3,42193
4914,12-Apr-15,frankfurter,2,42106
2764,24-Jul-15,other vegetables,5,42209
4187,09-May-15,dog food,25,42133
1392,20-Apr-15,specialty bar,3,42114
3427,28-Apr-15,curd,3,42122
1411,20-Feb-15,frankfurter,2,42055
3390,14-Nov-15,soda,6,42322
4787,01-Aug-15,beef,7,42217
3310,17-Jan-15,canned beer,3.5,42021
1782,10-Oct-15,pork,8,42287
3375,26-Apr-15,frankfurter,2,42120
2760,07-Jan-15,sausage,1.49,42011
4249,13-Sep-15,canned beer,3.5,42260
2904,06-Jun-15,specialty chocolate,20,42161
4090,26-Feb-15,curd,3,42061
3060,05-Jul-15,canned beer,3.5,42190
3768,07-Oct-15,whole milk,2,42284
1232,21-Jan-15,rolls/buns,1,42025
1360,23-Oct-15,pork,8,42300
1107,01-Oct-15,citrus fruit,3,42278
2865,04-Nov-15,pot plants,2,42312
2958,14-Jun-15,rolls/buns,1,42169
2448,12-Jul-15,butter,1.5,42197
1222,24-Sep-15,condensed milk,1.5,42271
2943,20-Jun-15,sausage,1.49,42175
2270,11-Aug-15,whole milk,2,42227
3812,21-Jul-15,sausage,1.49,42206
1482,22-Nov-15,beverages,35,42330
4720,22-Feb-15,beverages,35,42057
1344,04-Sep-15,bottled water,2,42251
2397,04-Oct-15,newspapers,2,42281
4182,12-May-15,cleaner,3.5,42136
4487,10-Jul-15,sausage,1.49,42195
3467,24-Dec-15,newspapers,2,42362
2443,15-Nov-15,sausage,1.49,42323
2749,27-Jan-15,misc. beverages,20,42031
4389,13-Apr-15,white wine,35,42107
1674,04-Dec-15,sausage,1.49,42342
4262,16-Oct-15,meat,20,42293
2082,07-Apr-15,frankfurter,2,42101
4494,06-Jan-15,ice cream,15,42010
2460,28-Sep-15,canned beer,3.5,42275
4509,29-Nov-15,tropical fruit,4,42337
2267,03-Jul-15,meat,20,42188
4891,05-Sep-15,whole milk,2,42252
3962,20-Sep-15,sausage,1.49,42267
4964,18-Jul-15,frankfurter,2,42203
2914,30-Nov-15,meat,20,42338
2808,05-May-15,root vegetables,7,42129
1085,15-Aug-15,root vegetables,7,42231
3808,18-Aug-15,whole milk,2,42234
4149,07-Jan-15,citrus fruit,3,42011
2331,05-Jun-15,citrus fruit,3,42160
4475,03-Apr-15,other vegetables,5,42097
2761,25-Apr-15,citrus fruit,3,42119
2620,14-Dec-15,sausage,1.49,42352
3206,13-Oct-15,frankfurter,2,42290
1226,13-Apr-15,hard cheese,14,42107
1395,07-Mar-15,cream cheese ,18,42070
2465,07-Jun-15,turkey,13,42162
3572,09-Jul-15,pork,8,42194
4387,08-May-15,whole milk,2,42132
1555,27-Mar-15,rolls/buns,1,42090
1181,16-Nov-15,sausage,1.49,42324
2814,11-May-15,ice cream,15,42135
2794,16-Sep-15,liquor,18,42263
2912,28-Jan-15,pip fruit,3,42032
4667,12-Jan-15,root vegetables,7,42016
2235,25-Oct-15,soda,6,42302
2353,02-May-15,soda,6,42126
3449,08-Mar-15,sausage,1.49,42071
1058,10-Nov-15,root vegetables,7,42318
1027,17-May-15,pork,8,42141
3302,22-May-15,pork,8,42146
2229,30-May-15,chocolate,5,42154
2188,15-Aug-15,fruit/vegetable juice,10,42231
1547,18-Apr-15,pickled vegetables,14,42112
1649,30-Jun-15,bottled water,2,42185
3254,10-Sep-15,frankfurter,2,42257
2818,07-Nov-15,tropical fruit,4,42315
2703,08-May-15,canned beer,3.5,42132
3332,31-Jan-15,root vegetables,7,42035
2473,01-Jul-15,meat,20,42186
2810,30-Dec-15,frankfurter,2,42368
1033,22-Apr-15,tropical fruit,4,42116
4222,27-May-15,tropical fruit,4,42151
3679,21-Sep-15,citrus fruit,3,42268
2212,27-Aug-15,hamburger meat,5,42243
1507,22-Jun-15,chicken,6,42177
2870,21-Jan-15,chicken,6,42025
3429,26-Apr-15,frankfurter,2,42120
4148,09-Apr-15,canned beer,3.5,42103
2970,30-Dec-15,turkey,13,42368
2013,30-Aug-15,packaged fruit/vegetables,5,42246
3967,30-May-15,pasta,10,42154
2885,15-May-15,citrus fruit,3,42139
3935,02-Jul-15,sausage,1.49,42187
3283,01-May-15,whole milk,2,42125
3268,06-Nov-15,canned beer,3.5,42314
3677,30-Apr-15,citrus fruit,3,42124
3495,27-Jun-15,liquor (appetizer),19,42182
1410,04-Oct-15,citrus fruit,3,42281
2440,06-Jun-15,sausage,1.49,42161
4088,13-Jan-15,chicken,6,42017
2469,23-Sep-15,hamburger meat,5,42270
4229,06-Mar-15,sausage,1.49,42069
2728,02-Aug-15,beef,7,42218
4694,25-Jan-15,citrus fruit,3,42029
2836,29-Dec-15,UHT-milk,8,42367
1311,12-Feb-15,candy,10,42047
1760,23-Jan-15,newspapers,2,42027
3656,02-Mar-15,beef,7,42065
3720,28-May-15,sausage,1.49,42152
2996,26-Sep-15,frankfurter,2,42273
1949,22-Jul-15,canned beer,3.5,42207
4498,11-Feb-15,bottled beer,30,42046
2447,28-Dec-15,onions,3,42366
1952,23-Mar-15,tropical fruit,4,42086
4099,27-Jan-15,bottled water,2,42031
1804,12-Mar-15,beef,7,42075
1510,16-May-15,sausage,1.49,42140
2879,18-Apr-15,hair spray,10,42112
4899,12-Mar-15,chicken,6,42075
4326,29-Sep-15,pork,8,42276
1670,17-May-15,ice cream,15,42141
1117,24-May-15,meat,20,42148
1346,03-Apr-15,other vegetables,5,42097
1178,15-Nov-15,bottled water,2,42323
1649,25-Jun-15,tropical fruit,4,42180
4651,21-Jun-15,photo/film,30,42176
4243,02-Apr-15,sausage,1.49,42096
4429,21-Jul-15,grapes,7,42206
4645,25-Jul-15,domestic eggs,4,42210
4019,24-Jul-15,rolls/buns,1,42209
4459,26-Apr-15,tropical fruit,4,42120
3006,27-Dec-15,chicken,6,42365
1834,17-Sep-15,frankfurter,2,42264
3236,04-Jul-15,berries,6.5,42189
1765,11-Mar-15,margarine,5,42074
3855,09-Mar-15,tropical fruit,4,42072
4392,28-Nov-15,ham,10,42336
3330,26-Jul-15,hamburger meat,5,42211
1723,02-Sep-15,yogurt,1.65,42249
4110,30-Mar-15,soda,6,42093
2600,28-Jan-15,yogurt,1.65,42032
2946,07-Oct-15,soda,6,42284
2426,08-Sep-15,bottled water,2,42255
4170,03-May-15,sausage,1.49,42127
1109,06-Apr-15,citrus fruit,3,42100
3429,04-Jan-15,shopping bags,0.8,42008
2055,04-Feb-15,newspapers,2,42039
2480,20-Sep-15,frankfurter,2,42267
2441,30-May-15,sausage,1.49,42154
1054,04-Oct-15,frankfurter,2,42281
4818,11-Jan-15,salt,2,42015
3379,21-Jan-15,oil,5,42025
3939,10-Feb-15,curd,3,42045
1367,05-Aug-15,other vegetables,5,42221
1043,10-Jan-15,citrus fruit,3,42014
2231,17-Oct-15,frankfurter,2,42294
3235,28-Dec-15,root vegetables,7,42366
4554,16-Jul-15,tropical fruit,4,42201
3245,24-Jan-15,beef,7,42028
2996,19-May-15,berries,6.5,42143
2507,05-Jan-15,canned beer,3.5,42009
4186,25-Oct-15,whipped/sour cream,7,42302
3929,28-Apr-15,root vegetables,7,42122
3760,22-Nov-15,whole milk,2,42330
4928,18-Aug-15,beef,7,42234
4217,18-Dec-15,frozen vegetables,10,42356
1174,11-Feb-15,rolls/buns,1,42046
4103,19-Jun-15,whole milk,2,42174
4408,13-Mar-15,whole milk,2,42076
2588,28-Dec-15,citrus fruit,3,42366
2598,11-Nov-15,pastry,5,42319
1518,11-Dec-15,frankfurter,2,42349
2702,08-Apr-15,tropical fruit,4,42102
1001,02-May-15,frankfurter,2,42126
2270,30-Sep-15,berries,6.5,42277
2838,10-Nov-15,rolls/buns,1,42318
1683,26-May-15,root vegetables,7,42150
4040,03-Apr-15,yogurt,1.65,42097
3897,23-Aug-15,other vegetables,5,42239
2200,11-Mar-15,berries,6.5,42074
4073,29-Jan-15,berries,6.5,42033
3700,19-Apr-15,other vegetables,5,42113
3973,10-Jun-15,rolls/buns,1,42165
2715,06-Jul-15,ham,10,42191
3967,23-Nov-15,whole milk,2,42331
4002,03-Sep-15,tropical fruit,4,42250
2962,01-Mar-15,bottled water,2,42064
4340,25-Dec-15,butter milk,1.65,42363
2092,06-Nov-15,newspapers,2,42314
3143,24-May-15,coffee,15,42148
2209,03-Oct-15,bottled beer,30,42280
2816,22-Aug-15,onions,3,42238
2659,01-Jun-15,hamburger meat,5,42156
1588,13-Oct-15,sausage,1.49,42290
1144,15-Oct-15,hard cheese,14,42292
2166,10-Dec-15,sausage,1.49,42348
3300,06-Oct-15,hamburger meat,5,42283
3944,03-Jan-15,onions,3,42007
4979,24-Apr-15,coffee,15,42118
2630,21-Jan-15,shopping bags,0.8,42025
4240,29-Apr-15,yogurt,1.65,42123
2357,08-Jul-15,soda,6,42193
1743,18-Apr-15,sliced cheese,4,42112
2331,15-Feb-15,sausage,1.49,42050
1643,28-Apr-15,yogurt,1.65,42122
1291,20-Mar-15,domestic eggs,4,42083
3675,04-Jul-15,whole milk,2,42189
4134,06-Nov-15,meat,20,42314
1363,21-Jun-15,dish cleaner,8,42176
4212,01-May-15,other vegetables,5,42125
1500,21-Mar-15,whole milk,2,42084
2622,01-Oct-15,other vegetables,5,42278
3543,18-Mar-15,tropical fruit,4,42081
2525,24-May-15,baking powder,3,42148
1264,12-Oct-15,specialty bar,3,42289
3601,06-Jul-15,ice cream,15,42191
1771,23-Mar-15,frankfurter,2,42086
4694,06-Feb-15,canned beer,3.5,42041
1122,21-Dec-15,bottled water,2,42359
3507,12-Aug-15,other vegetables,5,42228
4524,26-Apr-15,citrus fruit,3,42120
3612,27-Sep-15,sausage,1.49,42274
3262,11-Jun-15,domestic eggs,4,42166
1897,25-Jan-15,pork,8,42029
1656,30-Oct-15,specialty cheese,5,42307
3953,10-Jan-15,pork,8,42014
1488,21-Jun-15,beef,7,42176
1652,17-Mar-15,other vegetables,5,42080
4953,16-Sep-15,chicken,6,42263
3445,30-Apr-15,soda,6,42124
3180,15-Mar-15,whole milk,2,42078
4934,06-Sep-15,rolls/buns,1,42253
2980,27-Apr-15,bottled beer,30,42121
2763,13-Feb-15,root vegetables,7,42048
4819,04-Mar-15,pastry,5,42067
3169,02-Jul-15,berries,6.5,42187
1850,11-Mar-15,citrus fruit,3,42074
4285,29-Dec-15,whole milk,2,42367
4366,13-Aug-15,soda,6,42229
2253,16-Jun-15,bottled water,2,42171
3398,11-Mar-15,tropical fruit,4,42074
2215,22-Jul-15,salty snack,5,42207
3737,03-Mar-15,bottled water,2,42066
2649,28-Nov-15,chocolate,5,42336
3203,07-Aug-15,citrus fruit,3,42223
4261,16-Feb-15,bottled water,2,42051
2435,17-Jul-15,onions,3,42202
2046,21-Aug-15,dessert,10,42237
4267,11-Feb-15,beef,7,42046
1086,28-Dec-15,rolls/buns,1,42366
1992,04-Jan-15,beef,7,42008
3622,26-Jul-15,soda,6,42211
4700,27-Jun-15,coffee,15,42182
2272,16-May-15,rolls/buns,1,42140
1663,19-May-15,pork,8,42143
2519,03-Jun-15,soda,6,42158
2639,30-Oct-15,sausage,1.49,42307
1466,19-Apr-15,beef,7,42113
4122,23-Oct-15,whole milk,2,42300
3598,15-Apr-15,pork,8,42109
3097,10-Aug-15,berries,6.5,42226
1873,19-Sep-15,sausage,1.49,42266
1537,01-Feb-15,bottled water,2,42036
3960,25-Mar-15,tropical fruit,4,42088
1136,15-Jun-15,herbs,7,42170
2453,21-Dec-15,yogurt,1.65,42359
1746,15-Feb-15,Instant food products,16,42050
3572,09-Jun-15,specialty chocolate,20,42164
3246,24-Jun-15,coffee,15,42179
3207,26-Nov-15,bottled beer,30,42334
1042,12-Feb-15,beef,7,42047
1176,30-Mar-15,whole milk,2,42093
3054,23-Feb-15,frankfurter,2,42058
4486,02-Dec-15,frankfurter,2,42340
1580,05-Dec-15,other vegetables,5,42343
1623,02-Nov-15,frankfurter,2,42310
4169,24-Nov-15,whole milk,2,42332
2254,24-Jan-15,frankfurter,2,42028
4095,01-Nov-15,other vegetables,5,42309
1264,17-Nov-15,bottled water,2,42325
3375,06-Jan-15,pork,8,42010
3242,23-May-15,bottled water,2,42147
2227,07-Jun-15,other vegetables,5,42162
3847,03-Dec-15,hamburger meat,5,42341
3897,31-May-15,hamburger meat,5,42155
1799,27-Sep-15,shopping bags,0.8,42274
2920,26-Apr-15,whole milk,2,42120
3713,31-Jan-15,ice cream,15,42035
4230,05-Nov-15,pastry,5,42313
1455,18-Mar-15,ham,10,42081
3687,18-Mar-15,frankfurter,2,42081
3869,01-Aug-15,sausage,1.49,42217
2988,14-Oct-15,bottled beer,30,42291
4242,30-Mar-15,bottled water,2,42093
4118,24-Dec-15,meat,20,42362
4996,24-Nov-15,rolls/buns,1,42332
4489,04-Mar-15,other vegetables,5,42067
1199,09-Nov-15,beverages,35,42317
4108,12-May-15,ham,10,42136
3484,05-Jun-15,specialty bar,3,42160
1239,31-Aug-15,brown bread,0.8,42247
4839,19-Dec-15,whole milk,2,42357
4748,07-May-15,rolls/buns,1,42131
4426,06-Jun-15,bottled beer,30,42161
3571,11-Dec-15,pet care,20,42349
2852,08-Jun-15,citrus fruit,3,42163
3638,26-May-15,pork,8,42150
3635,10-Mar-15,other vegetables,5,42073
2723,07-May-15,white wine,35,42131
3495,11-Mar-15,whole milk,2,42074
2813,16-Nov-15,pip fruit,3,42324
2799,02-Sep-15,sugar,15,42249
4723,22-May-15,tropical fruit,4,42146
3313,08-Apr-15,root vegetables,7,42102
4748,15-Dec-15,soda,6,42353
2991,16-Feb-15,whole milk,2,42051
1483,01-Apr-15,tropical fruit,4,42095
3950,01-Oct-15,white bread,0.4,42278
1634,16-Jan-15,brown bread,0.8,42020
2694,21-Nov-15,tropical fruit,4,42329
2707,18-Oct-15,domestic eggs,4,42295
2813,16-Jul-15,coffee,15,42201
2276,11-Jan-15,soda,6,42015
4726,06-Feb-15,whole milk,2,42041
4353,25-May-15,bottled beer,30,42149
4017,13-Aug-15,pork,8,42229
1422,21-Aug-15,other vegetables,5,42237
2714,15-Mar-15,yogurt,1.65,42078
2769,21-Jul-15,sparkling wine,25,42206
4166,30-Apr-15,bottled water,2,42124
3614,02-Mar-15,citrus fruit,3,42065
4361,05-Sep-15,hamburger meat,5,42252
1922,22-Sep-15,packaged fruit/vegetables,5,42269
4728,06-Sep-15,other vegetables,5,42253
3646,08-Aug-15,soda,6,42224
1155,10-Aug-15,whole milk,2,42226
2119,11-Jun-15,herbs,7,42166
1602,29-Aug-15,citrus fruit,3,42245
1074,24-Jun-15,misc. beverages,20,42179
2256,11-Apr-15,female sanitary products,5,42105
1348,17-Sep-15,soda,6,42264
3806,28-Aug-15,tropical fruit,4,42244
1711,06-Jun-15,soda,6,42161
3959,12-Apr-15,white bread,0.4,42106
1590,15-Aug-15,coffee,15,42231
1962,08-Jun-15,tropical fruit,4,42163
1766,21-Jan-15,pork,8,42025
2551,21-Oct-15,citrus fruit,3,42298
2294,23-Sep-15,frankfurter,2,42270
4531,29-May-15,frankfurter,2,42153
2957,12-Apr-15,frankfurter,2,42106
4415,27-Jan-15,other vegetables,5,42031
1476,26-Aug-15,yogurt,1.65,42242
3978,23-Jul-15,sausage,1.49,42208
2062,22-Sep-15,whole milk,2,42269
3252,28-Jun-15,pip fruit,3,42183
3922,24-Jun-15,whole milk,2,42179
1491,17-Oct-15,root vegetables,7,42294
3526,26-Aug-15,onions,3,42242
4060,11-Dec-15,specialty chocolate,20,42349
1067,08-Apr-15,hamburger meat,5,42102
2840,27-Jan-15,photo/film,30,42031
4484,27-Nov-15,rolls/buns,1,42335
2353,07-Feb-15,canned beer,3.5,42042
3130,18-Feb-15,canned beer,3.5,42053
4273,14-Jun-15,other vegetables,5,42169
4565,30-Dec-15,canned beer,3.5,42368
2504,14-Aug-15,curd,3,42230
4127,23-Oct-15,butter,1.5,42300
2690,01-Apr-15,other vegetables,5,42095
4129,22-Sep-15,whole milk,2,42269
4511,29-Jun-15,beef,7,42184
1602,04-Aug-15,sausage,1.49,42220
4369,01-Feb-15,soda,6,42036
1302,29-Sep-15,fruit/vegetable juice,10,42276
3326,30-Apr-15,rolls/buns,1,42124
2066,21-May-15,pip fruit,3,42145
3483,15-Jan-15,frozen vegetables,10,42019
2840,12-Feb-15,beverages,35,42047
1807,18-May-15,hamburger meat,5,42142
2067,12-Aug-15,root vegetables,7,42228
3783,17-Feb-15,canned beer,3.5,42052
2884,04-Jan-15,frozen vegetables,10,42008
2908,15-Mar-15,canned beer,3.5,42078
1330,10-Jul-15,newspapers,2,42195
2293,08-May-15,rolls/buns,1,42132
3718,20-May-15,hamburger meat,5,42144
4338,25-Jan-15,pip fruit,3,42029
3486,08-Nov-15,canned beer,3.5,42316
3635,04-Sep-15,grapes,7,42251
2857,18-Feb-15,root vegetables,7,42053
3684,13-Aug-15,citrus fruit,3,42229
3120,20-Oct-15,cling film/bags,1,42297
3872,19-Mar-15,frankfurter,2,42082
2777,07-Apr-15,whole milk,2,42101
2702,27-May-15,pork,8,42151
4796,29-Jun-15,chicken,6,42184
1564,23-Oct-15,sausage,1.49,42300
2740,02-Jul-15,specialty bar,3,42187
1833,13-Apr-15,whipped/sour cream,7,42107
1757,23-Dec-15,root vegetables,7,42361
2975,24-Oct-15,rolls/buns,1,42301
4032,10-Aug-15,other vegetables,5,42226
3979,16-Sep-15,citrus fruit,3,42263
3772,09-Mar-15,whole milk,2,42072
4523,28-Oct-15,frankfurter,2,42305
4004,19-Apr-15,coffee,15,42113
2936,08-Jun-15,ham,10,42163
2394,21-Jun-15,canned beer,3.5,42176
4616,16-Aug-15,canned beer,3.5,42232
2362,08-Jul-15,canned beer,3.5,42193
3593,03-Nov-15,pip fruit,3,42311
4389,27-Aug-15,pork,8,42243
3206,11-Aug-15,soap,3,42227
4601,04-Jan-15,pip fruit,3,42008
4382,13-Nov-15,beef,7,42321
2718,08-Jun-15,sausage,1.49,42163
4691,12-Oct-15,frozen chicken,9,42289
3735,28-Nov-15,soda,6,42336
3900,20-Dec-15,tropical fruit,4,42358
4959,30-Jun-15,other vegetables,5,42185
1815,30-Aug-15,beef,7,42246
2454,08-Apr-15,meat,20,42102
4778,15-Jan-15,meat,20,42019
2289,04-Nov-15,bottled water,2,42312
1734,13-Jul-15,rolls/buns,1,42198
4019,05-Feb-15,pastry,5,42040
4605,28-May-15,pork,8,42152
4864,14-Nov-15,pip fruit,3,42322
4205,22-Feb-15,beef,7,42057
1862,03-Aug-15,beef,7,42219
1846,19-Jul-15,rolls/buns,1,42204
2019,28-May-15,citrus fruit,3,42152
2042,19-Nov-15,meat,20,42327
1768,26-May-15,beverages,35,42150
3847,26-Mar-15,beef,7,42089
3557,20-Jul-15,ham,10,42205
3975,27-Feb-15,hamburger meat,5,42062
4198,18-Mar-15,beef,7,42081
2580,04-Sep-15,beef,7,42251
3474,25-Aug-15,root vegetables,7,42241
1678,14-Nov-15,citrus fruit,3,42322
4254,14-Aug-15,yogurt,1.65,42230
4704,21-Aug-15,tropical fruit,4,42237
3343,10-May-15,frankfurter,2,42134
3812,24-Jun-15,beef,7,42179
3093,13-Mar-15,shopping bags,0.8,42076
2170,18-Jun-15,canned beer,3.5,42173
4867,29-Oct-15,rolls/buns,1,42306
3899,23-Mar-15,other vegetables,5,42086
2941,03-Oct-15,hamburger meat,5,42280
1958,03-Jul-15,hamburger meat,5,42188
2760,08-Aug-15,frankfurter,2,42224
4413,03-Aug-15,bottled beer,30,42219
1737,15-May-15,tropical fruit,4,42139
4202,18-Feb-15,soda,6,42053
1065,13-Nov-15,frankfurter,2,42321
3819,28-Jun-15,chicken,6,42183
2854,08-Feb-15,coffee,15,42043
4387,16-Sep-15,whole milk,2,42263
4530,12-Apr-15,margarine,5,42106
